"Ad_ID","Campaign_Name","Clicks","Impressions","Cost","Leads","Conversions","Conversion_Rate","Sale_Amount","Ad_Date","Location","Device","Keyword","Format_Date"
"A1000","Data Analytics Course",104.0,4498.0,231.88,14.0,7.0,"0.058",1892.0,"2024-11-16","Hyderabad","desktop","learn data analytics","2024-11-16"
"A1001","Data Analytics Course",173.0,5107.0,216.84,10.0,8.0,"0.046",1679.0,"20-11-2024","Hyderabad","mobile","data analytics course","2024-11-20"
"A1002","Data Analytics Course",90.0,4544.0,203.66,26.0,9.0,"0.1",1624.0,"2024/11/16","Hyderabad","Desktop","data analitics online","2024-11-16"
"A1003","Data Analytics Course",142.0,3185.0,237.66,17.0,6.0,"0.042",1225.0,"2024-11-26","Hyderabad","tablet","data anaytics training","2024-11-26"
"A1004","Data Analytics Course",156.0,3361.0,195.9,30.0,8.0,"0.051",1091.0,"2024-11-22","Hyderabad","desktop","online data analytic","2024-11-22"
"A1005","Data Analytics Course",195.0,3776.0,243.57,10.0,8.0,"0.041",1315.0,"16-11-2024","Hyderabad","MOBILE","data anaytics training","2024-11-16"
"A1006","Data Analytics Course",116.0,4480.0,237.79,17.0,5.0,"0.043",1640.0,"06-11-2024","Hyderabad","TABLET","data analytics course","2024-11-06"
"A1007","Data Analytics Course",184.0,5060.0,229.61,23.0,3.0,"0.016",1509.0,"2024/11/24","Hyderabad","TABLET","analytics for data","2024-11-24"
"A1008","Data Analytics Course",113.0,5434.0,0.0,27.0,4.0,"0.058",1362.0,"2024/11/24","Hyderabad","Tablet","data anaytics training","2024-11-24"
"A1009","Data Analytics Course",166.0,3355.0,186.78,24.0,9.0,"0.054",1029.0,"2024/11/12","Hyderabad","Mobile","online data analytic","2024-11-12"
"A1010","Data Analytics Course",101.0,5399.0,236.79,20.0,6.0,"0.059",1900.0,"14-11-2024","Hyderabad","DESKTOP","learn data analytics","2024-11-14"
"A1011","Data Analytics Course",101.0,3613.0,208.12,24.0,5.0,"0.05",1130.0,"2024/11/22","Hyderabad","Desktop","online data analytic","2024-11-22"
"A1012","Data Analytics Course",125.0,3259.0,191.3,18.0,3.0,"0.024",1959.0,"2024/11/27","Hyderabad","DESKTOP","data analitics online","2024-11-27"
"A1013","Data Analytics Course",196.0,3742.0,207.46,10.0,7.0,"0.038",1623.0,"12-11-2024","Hyderabad","mobile","data anaytics training","2024-11-12"
"A1014","Data Analytics Course",181.0,4311.0,185.09,11.0,9.0,"0.05",1538.0,"2024-11-04","Hyderabad","Desktop","data anaytics training","2024-11-04"
"A1015","Data Analytics Course",102.0,5461.0,201.69,22.0,8.0,"0.078",1755.0,"2024-11-29","Hyderabad","desktop","data analytics course","2024-11-29"
"A1016","Data Analytics Course",193.0,5159.0,0.0,15.0,9.0,"0.047",1614.0,"2024-11-10","Hyderabad","Mobile","learn data analytics","2024-11-10"
"A1017","Data Analytics Course",149.0,4431.0,207.4,19.0,9.0,"0.06",1693.0,"12-11-2024","Hyderabad","mobile","learn data analytics","2024-11-12"
"A1018","Data Analytics Course",150.0,3113.0,217.41,20.0,5.0,"0.033",1785.0,"2024/11/07","Hyderabad","Mobile","analytics for data","2024-11-07"
"A1019","Data Analytics Course",145.0,5278.0,0.0,25.0,6.0,"0.041",1516.0,"2024-11-05","Hyderabad","DESKTOP","data analytics course","2024-11-05"
"A1020","Data Analytics Course",184.0,4143.0,223.3,10.0,10.0,"0.044",1735.0,"2024/11/21","Hyderabad","TABLET","learn data analytics","2024-11-21"
"A1021","Data Analytics Course",171.0,4154.0,184.23,30.0,7.0,"0.041",1803.0,"2024/11/08","Hyderabad","tablet","data analitics online","2024-11-08"
"A1022","Data Analytics Course",122.0,5187.0,211.24,27.0,6.0,"0.049",1322.0,"2024-11-20","Hyderabad","Desktop","online data analytic","2024-11-20"
"A1023","Data Analytics Course",188.0,5798.0,230.17,28.0,5.0,"0.047",1452.0,"30-11-2024","Hyderabad","TABLET","data analytics course","2024-11-30"
"A1024","Data Analytics Course",87.0,3718.0,0.0,12.0,3.0,"0.034",1652.0,"20-11-2024","Hyderabad","tablet","learn data analytics","2024-11-20"
"A1025","Data Analytics Course",88.0,3349.0,181.92,22.0,8.0,"0.091",1456.0,"2024-11-20","Hyderabad","Tablet","learn data analytics","2024-11-20"
"A1026","Data Analytics Course",119.0,5323.0,205.92,17.0,10.0,"0.06",1656.0,"2024-11-02","Hyderabad","desktop","online data analytic","2024-11-02"
"A1028","Data Analytics Course",128.0,5469.0,188.49,16.0,3.0,"0.023",1783.0,"2024-11-23","Hyderabad","MOBILE","learn data analytics","2024-11-23"
"A1029","Data Analytics Course",86.0,3351.0,237.75,21.0,9.0,"0.105",1975.0,"2024/11/13","Hyderabad","Mobile","analytics for data","2024-11-13"
"A1030","Data Analytics Course",188.0,4834.0,213.58,15.0,4.0,"0.021",1590.0,"2024-11-08","Hyderabad","TABLET","online data analytic","2024-11-08"
"A1031","Data Analytics Course",113.0,5065.0,212.37,11.0,5.0,"0.044",1111.0,"22-11-2024","Hyderabad","Desktop","online data analytic","2024-11-22"
"A1033","Data Analytics Course",176.0,5509.0,234.59,19.0,7.0,"0.054",1710.0,"2024/11/03","Hyderabad","Tablet","data analytics course","2024-11-03"
